Wall time,Step,Value
1731224990.085352,66,-137.9383087158203
1731224990.1393533,69,-148.6483154296875
1731224990.6241326,95,-136.6214141845703
1731224991.0519993,118,-138.54769897460938
1731224992.4185717,191,-137.4302520751953
1731224993.591129,253,-139.75357055664062
1731224993.6911976,258,-138.5302734375
1731224994.0949924,279,-140.96617126464844
1731224994.4257905,297,-140.78253173828125
1731224995.0556796,332,-136.82818603515625
1731224995.0891855,334,-142.05853271484375
1731224995.2357092,342,-137.12782287597656
1731224998.1583226,498,-137.47760009765625
1731224999.3086047,560,-140.97068786621094
1731225000.079593,603,-134.75247192382812
1731225000.2281115,610,-139.3456573486328
1731225001.1077452,658,-143.72496032714844
1731225001.34491,671,-135.5409698486328
1731225001.7825358,695,-142.89878845214844
1731225002.5928721,738,-139.60890197753906
1731225002.7497942,746,-137.36915588378906
1731225003.911066,809,-140.28016662597656
1731225004.2212467,826,-140.96505737304688
1731225004.3303444,832,-137.489990234375
1731225004.8280232,860,-136.08607482910156
1731225007.2452254,995,-143.6961669921875
1731225008.2165263,1038,-140.6260223388672
1731225009.3076887,1090,-138.89439392089844
1731225010.1637068,1128,-149.25363159179688
1731225011.741182,1204,-143.48651123046875
1731225013.4097226,1285,-151.3453826904297
1731225014.5626247,1340,-157.30648803710938
1731225014.6151373,1343,-142.25936889648438
1731225014.9306738,1357,-147.14068603515625
1731225014.999329,1361,-135.30421447753906
1731225016.0443676,1409,-140.06869506835938
1731225016.172892,1416,-147.5133514404297
1731225017.1506982,1460,-150.28289794921875
1731225017.7520778,1490,-152.0259552001953
1731225018.9320648,1547,-155.40664672851562
1731225019.614918,1576,-143.32611083984375
1731225019.908662,1592,-146.78201293945312
1731225020.266794,1608,-139.83106994628906
1731225022.5029998,1715,-148.02581787109375
1731225023.428761,1758,-152.14840698242188
1731225023.4857643,1761,-148.45875549316406
1731225025.7038865,1868,-144.7637939453125
1731225026.1923218,1890,-149.9051971435547
1731225026.4706454,1901,-146.1759796142578
1731225027.2700138,1941,-147.57781982421875
1731225027.6459274,1958,-145.55886840820312
1731225027.8825462,1971,-148.8035888671875
1731225029.7989972,2060,-152.11964416503906
1731225031.032797,2120,-145.31924438476562
1731225033.0425184,2211,-145.1562957763672
1731225033.2564876,2223,-141.55809020996094
1731225033.9796777,2255,-143.2200927734375
1731225034.083725,2261,-146.0233612060547
1731225034.616727,2286,-151.8732147216797
1731225035.5632322,2331,-143.4508819580078
1731225037.2839463,2413,-145.4440460205078
1731225038.2827787,2460,-146.57992553710938
1731225038.6651657,2477,-143.5149383544922
1731225038.7010453,2479,-142.3664093017578
1731225038.7940905,2484,-146.7139129638672
1731225039.3217762,2509,-138.1987762451172
1731225039.3377767,2510,-145.4838104248047
1731225039.5553422,2522,-147.88475036621094
1731225039.7183726,2527,-143.10598754882812
1731225040.380412,2556,-154.81417846679688
1731225040.6635237,2571,-149.72323608398438
1731225043.6327252,2709,-144.07652282714844
1731225044.7906115,2764,-139.33746337890625
1731225049.620928,2991,-140.42837524414062
1731225051.1388774,3062,-140.2928466796875
1731225051.1888793,3065,-147.43887329101562
1731225052.3860278,3123,-146.41604614257812
1731225053.7582178,3185,-143.3876495361328
1731225055.2313187,3254,-146.02447509765625
1731225055.484033,3268,-147.48492431640625
1731225055.5225437,3270,-145.54315185546875
1731225055.5405426,3271,-147.2688446044922
1731225056.8546793,3329,-143.5847930908203
1731225060.5699327,3504,-142.88719177246094
1731225063.4687848,3642,-140.7104034423828
1731225063.50479,3644,-143.088134765625
1731225064.560806,3694,-141.406982421875
1731225066.112664,3765,-148.25814819335938
1731225067.2183213,3817,-144.7445526123047
1731225067.690669,3838,-152.70541381835938
1731225067.817291,3845,-143.40902709960938
1731225070.1307752,3952,-142.0544891357422
1731225070.735137,3980,-145.83236694335938
1731225071.3068461,4008,-139.64552307128906
1731225072.426817,4060,-141.26492309570312
1731225073.7006795,4122,-143.8567657470703
1731225075.7704265,4220,-149.10804748535156
1731225076.4943235,4251,-143.4615478515625
1731225076.585836,4256,-144.3558349609375
1731225078.4312642,4341,-139.4757843017578
1731225078.4692655,4343,-150.037841796875
1731225080.1628356,4424,-151.56446838378906
1731225082.1733294,4516,-139.83436584472656
1731225082.5579522,4533,-146.21029663085938
1731225083.0271244,4554,-136.7301025390625
1731225085.8246942,4688,-137.18508911132812
1731225085.900692,4692,-143.864501953125
1731225086.1204054,4700,-146.949462890625
1731225088.4566622,4812,-140.08493041992188
1731225088.7677402,4826,-139.92343139648438
1731225089.534223,4864,-137.90426635742188
1731225089.8222976,4876,-149.24159240722656
1731225090.6470795,4918,-141.30990600585938
1731225092.2503223,4995,-145.1770782470703
1731225093.9168932,5074,-144.04429626464844
1731225094.0235288,5076,-138.1901397705078
1731225095.1717644,5130,-142.7410430908203
1731225095.7675323,5158,-144.20864868164062
1731225098.0173407,5263,-151.37554931640625
1731225100.275349,5369,-143.62416076660156
1731225100.5924869,5383,-140.03744506835938
1731225101.8175807,5444,-140.7066650390625
1731225104.566079,5573,-144.3643341064453
1731225107.4482973,5703,-141.9986114501953
1731225108.3550534,5747,-140.86865234375
1731225110.2106223,5832,-143.93028259277344
1731225110.6371152,5852,-142.13182067871094
1731225111.3684082,5888,-148.66485595703125
1731225111.4956682,5895,-144.2126922607422
1731225112.2911675,5931,-155.41592407226562
1731225112.7423627,5952,-143.82200622558594
1731225114.0327604,6014,-138.8824005126953
1731225114.470526,6034,-151.54534912109375
1731225116.787685,6145,-146.08151245117188
1731225117.0370777,6155,-148.425537109375
1731225118.420998,6224,-151.78347778320312
1731225118.7573686,6237,-151.2178497314453
1731225118.8948817,6243,-141.68576049804688
1731225119.2100222,6256,-152.3280029296875
1731225120.448194,6313,-145.2075653076172
1731225121.001289,6336,-142.34375
1731225122.4321249,6400,-146.80331420898438
1731225125.4519446,6544,-146.4939422607422
1731225126.58699,6598,-146.09011840820312
1731225127.28458,6627,-136.61253356933594
1731225128.4304426,6681,-149.92251586914062
1731225129.2308512,6720,-140.90309143066406
1731225129.2933636,6723,-144.88841247558594
1731225129.5906634,6735,-136.58975219726562
1731225130.2275143,6766,-141.9191131591797
1731225132.6254091,6878,-148.6398468017578
1731225135.130353,6990,-141.30078125
1731225135.6770456,7016,-146.11056518554688
1731225138.0949547,7130,-147.65179443359375
1731225138.2390418,7138,-151.26829528808594
